check_name,status,n_affected,details
same_question_id_set_raw_sources,fail,3,AR-only=3; DLM-only=0
same_question_id_set_comparative_analysis,pass,0,247 shared question_id values used for comparative tables and figures
duplicate_question_id_within_source,pass,0,duplicate full evaluation keys
valid_dataset,pass,0,
valid_model_id,pass,0,
valid_model_family,pass,0,
valid_prompt_condition,pass,0,
confidence_normalized_0_1,pass,0,
correctness_binary_auto_label,pass,0,
