model_family,N_retained,N_excluded,parse_failures_dropped,share_dropped,accuracy_retained,accuracy_excluded,accuracy_delta,mean_confidence_retained,mean_confidence_excluded,mean_confidence_delta,expected_calibration_error_retained,expected_calibration_error_excluded,expected_calibration_error_delta,area_under_risk_coverage_retained,area_under_risk_coverage_excluded,area_under_risk_coverage_delta,area_under_roc_retained,area_under_roc_excluded,area_under_roc_delta,high_confidence_wrong_rate_retained,high_confidence_wrong_rate_excluded,high_confidence_wrong_rate_delta
AR,6750,6750,0,0.000000,0.717185,0.717185,0.000000,0.917867,0.917867,0.000000,0.201274,0.201274,0.000000,0.262736,0.262736,0.000000,0.557871,0.557871,0.000000,0.225778,0.225778,0.000000
DLM,9000,8868,132,0.014667,0.481667,0.487483,0.005816,0.923687,0.923687,0.000000,0.455573,0.455573,0.000000,0.534797,0.534797,0.000000,0.492299,0.492299,0.000000,0.423222,0.429522,0.006300
