model_family,N,accuracy,mean_confidence,share_confidence_at_least_0.9,share_confidence_exactly_1.0,expected_calibration_error,confidence_minus_accuracy
AR,6750,0.717185,0.917867,0.854667,0.395259,0.201274,0.200681
DLM,9000,0.481667,0.923687,0.892309,0.592580,0.455573,0.442021
